,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,sin2,initial iteration,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3', 'piano track 8']","[0.861, 0.1, 0.268, 0.003, 0.754, 0.288, 0.338, 0.309]",['piano track 7']
1,sin2,iteration1,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3', 'piano track 8']","[0.1, 0.268, 0.003, 0.754, 0.288, 0.338, 0.995]",['piano track 8']
2,sin2,iteration2,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3']","[0.1, 0.268, 0.003, 0.754, 0.288, 0.338]",['piano track 1']
3,sin2,iteration3,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 2', 'piano track 3']","[0.342, 0.359, -0.146, 0.957, 0.351]",['piano track 2']
4,06christ,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.062, 0.416, 0.325, 0.332]",['piano track 1']
5,06christ,iteration1,"['piano track 4', 'piano track 2', 'piano track 3']","[0.154, 0.73, 0.505]",['piano track 2']
6,06christ,iteration2,"['piano track 4', 'piano track 3']","[0.168, 0.791]",['piano track 3']
7,06christ,iteration3,['piano track 4'],[1.0],['piano track 4']
8,prefug8,initial iteration,"['Right Hand', 'Left Hand']","[1.0, 0.899]",['Right Hand']
9,prefug8,iteration1,['Left Hand'],[0.998],['Left Hand']
10,prefug8,iteration2,[],[],[None]
11,prefug8,iteration3,[],[],[None]
12,03achgot,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.333, 0.619, 0.303, 0.075]",['piano track 1']
13,03achgot,iteration1,"['piano track 4', 'piano track 2', 'piano track 3']","[0.052, 0.685, 0.287]",['piano track 2']
14,03achgot,iteration2,"['piano track 4', 'piano track 3']","[-0.344, 0.774]",['piano track 3']
15,03achgot,iteration3,['piano track 4'],[1.0],['piano track 4']
16,12puerna,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.496, 0.104, 0.239, -0.083]",['piano track 4']
17,12puerna,iteration1,"['piano track 1', 'piano track 2', 'piano track 3']","[0.391, 0.557, 0.296]",['piano track 2']
18,12puerna,iteration2,"['piano track 1', 'piano track 3']","[-0.158, 0.113]",['piano track 3']
19,12puerna,iteration3,['piano track 1'],[1.0],['piano track 1']
20,10austie,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.288, 0.658, 0.789, 0.655]",['piano track 2']
21,10austie,iteration1,"['piano track 4', 'piano track 1', 'piano track 3']","[0.279, 0.474, 0.527]",['piano track 3']
22,10austie,iteration2,"['piano track 4', 'piano track 1']","[0.066, 0.106]",['piano track 1']
23,10austie,iteration3,['piano track 4'],[1.0],['piano track 4']
24,sar1,initial iteration,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3']","[0.655, 0.632, 0.979, 0.791, 0.053, 0.038]",['piano track 5']
25,sar1,iteration1,"['piano track 6', 'piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.669, 0.454, 0.71, 0.056, 0.099]",['piano track 1']
26,sar1,iteration2,"['piano track 6', 'piano track 4', 'piano track 2', 'piano track 3']","[0.921, 0.231, 0.49, 0.37]",['piano track 6']
27,sar1,iteration3,"['piano track 4', 'piano track 2', 'piano track 3']","[0.236, 0.479, 0.587]",['piano track 3']
28,15christ,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.614, 0.738, 0.716, 0.398]",['piano track 1']
29,15christ,iteration1,"['piano track 4', 'piano track 2', 'piano track 3']","[0.359, 0.813, 0.473]",['piano track 2']
30,15christ,iteration2,"['piano track 4', 'piano track 3']","[0.404, 0.773]",['piano track 3']
31,15christ,iteration3,['piano track 4'],[1.0],['piano track 4']
32,11jesu,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.207, 0.546, 0.364, 0.357]",['piano track 1']
33,11jesu,iteration1,"['piano track 4', 'piano track 2', 'piano track 3']","[0.064, 0.369, 0.292]",['piano track 2']
34,11jesu,iteration2,"['piano track 4', 'piano track 3']","[0.247, 0.555]",['piano track 3']
35,11jesu,iteration3,['piano track 4'],[1.0],['piano track 4']
