,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,Schubert_audio_2,initial iteration,"['Right ', 'Left']","[0.838, 0.024]",['Right ']
1,Schubert_audio_2,iteration1,['Left'],[0.999],['Left']
2,muss_1,initial iteration,"['Piano right', 'Piano left']","[0.907, 0.346]",['Piano right']
3,muss_1,iteration1,['Piano left'],[0.983],['Piano left']
4,Schubert_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.856, 0.463]",['Piano right']
5,Schubert_audio_1,iteration1,['Piano left'],[1.0],['Piano left']
6,Schubert_audio_5,initial iteration,"['Piano right', 'Piano left']","[0.918, 0.232]",['Piano right']
7,Schubert_audio_5,iteration1,['Piano left'],[1.0],['Piano left']
8,alb_se8,initial iteration,"['Piano right', 'Piano left']","[0.948, 0.499]",['Piano right']
9,alb_se8,iteration1,['Piano left'],[1.0],['Piano left']
10,Choplin_audio_3,initial iteration,"['Piano right', 'Piano left']","[0.799, 0.081]",['Piano right']
11,Choplin_audio_3,iteration1,['Piano left'],[1.0],['Piano left']
12,Mozart_audio_3,initial iteration,"['Piano right', 'Piano left']","[0.938, -0.066]",['Piano right']
13,Mozart_audio_3,iteration1,['Piano left'],[0.997],['Piano left']
14,Mozart_audio_2,initial iteration,"['Piano right', 'Piano left']","[0.776, 0.036]",['Piano right']
15,Mozart_audio_2,iteration1,['Piano left'],[0.996],['Piano left']
16,Choplin_audio_2,initial iteration,"['Piano right', 'Piano left']","[0.844, 0.316]",['Piano right']
17,Choplin_audio_2,iteration1,['Piano left'],[1.0],['Piano left']
18,Mozart_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.763, 0.183]",['Piano right']
19,Mozart_audio_1,iteration1,['Piano left'],[0.999],['Piano left']
20,Choplin_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.803, 0.109]",['Piano right']
21,Choplin_audio_1,iteration1,['Piano left'],[1.0],['Piano left']
22,Choplin_audio_5,initial iteration,"['Piano right', 'Piano left']","[0.814, 0.086]",['Piano right']
23,Choplin_audio_5,iteration1,['Piano left'],[0.996],['Piano left']
24,Choplin_audio_4,initial iteration,"['Piano right', 'Piano left']","[0.956, 0.165]",['Piano right']
25,Choplin_audio_4,iteration1,['Piano left'],[1.0],['Piano left']
26,Choplin_audio_6,initial iteration,"['Piano right', 'Piano left']","[0.683, 0.038]",['Piano right']
27,Choplin_audio_6,iteration1,['Piano left'],[0.999],['Piano left']
28,Beth_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.929, 0.193]",['Piano right']
29,Beth_audio_1,iteration1,['Piano left'],[0.984],['Piano left']
30,Beth_audio_3,initial iteration,"['Piano right', 'Piano left']","[0.941, 0.206]",['Piano right']
31,Beth_audio_3,iteration1,['Piano left'],[0.981],['Piano left']
32,Beth_audio_2,initial iteration,"['Piano right', 'Piano left']","[0.669, 0.31]",['Piano right']
33,Beth_audio_2,iteration1,['Piano left'],[0.997],['Piano left']
34,alb_esp3,initial iteration,"['Piano right', 'Piano left']","[0.857, 0.119]",['Piano right']
35,alb_esp3,iteration1,['Piano left'],[1.0],['Piano left']
36,alb_se4,initial iteration,"['Piano right', 'Piano left']","[0.928, 0.272]",['Piano right']
37,alb_se4,iteration1,['Piano left'],[1.0],['Piano left']
38,alb_se5,initial iteration,"['Piano right', 'Piano left']","[0.78, 0.228]",['Piano right']
39,alb_se5,iteration1,['Piano left'],[1.0],['Piano left']
40,alb_esp2,initial iteration,"['Piano right', 'Piano left']","[0.918, 0.217]",['Piano right']
41,alb_esp2,iteration1,['Piano left'],[1.0],['Piano left']
42,alb_se7,initial iteration,"['Piano right', 'Piano left']","[0.831, 0.713]",['Piano right']
43,alb_se7,iteration1,['Piano left'],[1.0],['Piano left']
44,alb_se6,initial iteration,"['Piano right', 'Piano left']","[0.887, 0.469]",['Piano right']
45,alb_se6,iteration1,['Piano left'],[1.0],['Piano left']
46,alb_esp1,initial iteration,"['Piano right', 'Piano left']","[0.837, 0.477]",['Piano right']
47,alb_esp1,iteration1,['Piano left'],[1.0],['Piano left']
48,alb_esp5,initial iteration,"['Piano right', 'Piano left']","[0.935, 0.339]",['Piano right']
49,alb_esp5,iteration1,['Piano left'],[1.0],['Piano left']
50,alb_se2,initial iteration,"['Piano right', 'Piano left']","[0.935, 0.609]",['Piano right']
51,alb_se2,iteration1,['Piano left'],[1.0],['Piano left']
52,alb_se3,initial iteration,"['Piano right', 'Piano left']","[0.906, 0.602]",['Piano right']
53,alb_se3,iteration1,['Piano left'],[1.0],['Piano left']
54,alb_esp4,initial iteration,"['Piano right', 'Piano left']","[0.935, 0.387]",['Piano right']
55,alb_esp4,iteration1,['Piano left'],[1.0],['Piano left']
56,alb_esp6,initial iteration,"['Piano right', 'Piano left']","[0.847, 0.393]",['Piano right']
57,alb_esp6,iteration1,['Piano left'],[1.0],['Piano left']
58,alb_se1,initial iteration,"['Piano right', 'Piano left']","[0.761, 0.321]",['Piano right']
59,alb_se1,iteration1,['Piano left'],[1.0],['Piano left']
