,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,jazz_audio10,initial iteration,"['by Andres Chait', 'Echoes', 'G Electrica', 'Bajo', 'Harpsichord', 'Clavs', 'Rain', 'Acordes', 'Saxo', 'Square']","[-0.35, 0.104, 0.753, -0.26, 0.928, 0.161, 0.371, 0.039, 0.875, 0.539]",['Harpsichord']
1,jazz_audio10,iteration1,"['by Andres Chait', 'Echoes', 'G Electrica', 'Bajo', 'Clavs', 'Rain', 'Acordes', 'Saxo', 'Square']","[0.004687133817670494, 0.22381063979376611, 0.46004218420435905, 0.18725099601593626, 0.5875322240449965, 0.15162877900164048, 0.08061870166393251, 0.5062104523084134, 0.32270916334661354]",['Saxo']
2,jazz_audio10,iteration2,"['by Andres Chait', 'Echoes', 'G Electrica', 'Bajo', 'Clavs', 'Rain', 'Acordes', 'Square']","[0.007378777231201687, 0.2849613492621223, 0.6869290231904427, 0.20098383696416022, 0.6300070274068869, 0.21082220660576248, 0.08222066057624737, 0.3338018271257906]",['G Electrica']
3,jazz_audio10,iteration3,"['by Andres Chait', 'Echoes', 'Bajo', 'Clavs', 'Rain', 'Acordes', 'Square']","[0.011431682090364725, 0.4197060424605335, 0.22645617855198694, 0.6908002177463255, 0.32553075666848125, 0.06695699510070767, 0.5089820359281437]",['Clavs']
4,jazz_audio39,initial iteration,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'Sequences by Devian', 'piano track 10', 'piano track 11', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 8', 'piano track 9']","[0.548, 0.017, 0.176, -0.059, -0.526, 0.179, 0.04, 0.284, 0.966, 0.003, 0.279, 0.393, 0.661, 0.747, 0.03]",['piano track 10']
5,jazz_audio39,iteration1,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'piano track 3', 'Sequences by Devian', 'piano track 11', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 8', 'piano track 9']","[0.32339106264699596, 0.34306179174684626, 0.00042762454564892024, 0.0052384006841992735, 0.037737866153517215, 0.5384862091084028, 0.5499251657045114, 0.0, 0.9191789608723541, 0.159397049390635, 0.47177677998717127, 0.22354073123797305, 0.6472097498396407, 0.2329484712422493, 0.15618986529826812]",['piano track 11']
6,jazz_audio39,iteration2,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'piano track 3', 'Sequences by Devian', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 8', 'piano track 9']","[0.30701850432497535, 0.327165225008212, 0.00043797218876601336, 0.005365159312383664, 0.038651045658600676, 0.5438519654001971, 0.5484506733822402, 0.0, 0.9172232563232234, 0.4664403810358042, 0.22894996167743348, 0.638672944268039, 0.21438738640096353, 0.1599693419467864]",['piano track 8']
7,jazz_audio39,iteration3,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'piano track 3', 'Sequences by Devian', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 9']","[0.2846971066907776, 0.3054927667269439, 0.0003390596745027125, 0.005198915009041591, 0.03989602169981917, 0.551876130198915, 0.5541365280289331, 0.0, 0.9145569620253164, 0.48146473779385174, 0.2363245931283906, 0.6270343580470162, 0.16512206148282096]",['------ MY WISH ------']
8,jazz_audio2,initial iteration,"['Drums', 'organ', 'piano track 0', ' trumpet', 'tenor sax', 'l clavinet', 'brass', 'finger bass', 'slap bass', 'mute guit', ' trombone', 'sax', ' rock organ']","[0.024, 0.296, -0.02, 0.629, 0.528, 0.118, 0.623, -0.393, 0.351, 0.093, 0.309, 0.329, 0.125]",[' trumpet']
9,jazz_audio2,iteration1,"['Drums', 'organ', 'piano track 0', 'tenor sax', 'l clavinet', 'brass', 'finger bass', 'slap bass', 'mute guit', ' trombone', 'sax', ' rock organ']","[0.2586636466591167, 0.0767836919592299, 0.060928652321630805, 0.44394110985277463, 0.14835787089467722, 0.2520951302378256, 0.11823329558323896, 0.015175537938844847, 0.09037372593431484, 0.13680634201585504, 0.32298980747451866, 0.020838052095130236]",['brass']
