,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,pop_audio1,initial iteration,"['Pad 1 (new age)', 'Acoustic Bass', 'Adele - Hello(2015)', 'Lead 6 (voice)', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'FX7 (echoes)', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[0.105, nan, 0.806, 0.948, 0.546, 0.175, 0.543, 0.333, 0.531]",['Lead 6 (voice)']
1,pop_audio1,iteration1,"['Pad 1 (new age)', 'Acoustic Bass', 'Adele - Hello(2015)', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'FX7 (echoes)', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[0.105, nan, 0.745, 0.428, 0.175, 0.544, 0.35, 0.531]",['Adele - Hello(2015)']
2,pop_audio1,iteration2,"['Pad 1 (new age)', 'Acoustic Bass', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'FX7 (echoes)', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[0.259, nan, 0.384, 0.141, 0.436, -0.134, 0.417]",['FX7 (echoes)']
3,pop_audio1,iteration3,"['Pad 1 (new age)', 'Acoustic Bass', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[0.288, nan, 0.73, 0.612, -0.01, 0.27]",['Words & Music by Greg Kurstin & Adele Atkins(2015)']
4,pop_audio2,initial iteration,"['Drum Track 2', 'Pan Flute Lead', 'Pan Flute', 'Strings 2', 'Guitar 1', 'Strings 1', 'Guitar 2', 'Intro Lead', 'Bass']","[nan, 0.43, -0.365, 0.302, -0.076, 0.302, -0.079, 0.652, 0.036]",['Intro Lead']
5,pop_audio2,iteration1,"['Drum Track 2', 'Pan Flute Lead', 'Pan Flute', 'Strings 2', 'Guitar 1', 'Strings 1', 'Guitar 2', 'Bass']","[nan, 0.43, -0.397, 0.299, -0.076, 0.309, -0.079, 0.04]",['Pan Flute Lead']
6,pop_audio2,iteration2,"['Drum Track 2', 'Pan Flute', 'Strings 2', 'Guitar 1', 'Strings 1', 'Guitar 2', 'Bass']","[nan, -0.397, 0.386, -0.063, 0.256, -0.069, -0.042]",['Strings 2']
7,pop_audio2,iteration3,"['Drum Track 2', 'Pan Flute', 'Guitar 1', 'Strings 1', 'Guitar 2', 'Bass']","[nan, -0.528, -0.13, 0.871, -0.045, -0.006]",['Strings 1']
8,pop_audio49,initial iteration,"['New Age', 'Strings', 'Bass']","[0.602, 0.392, 0.032]",['New Age']
9,pop_audio49,iteration1,"['Strings', 'Bass']","[0.932, -0.206]",['Strings']
10,pop_audio49,iteration2,['Bass'],[0.998],['Bass']
11,pop_audio49,iteration3,[],[],[None]
12,pop_audio3,initial iteration,"['Hypersaw heaven 2 (MIDI)', 'Keys (MIDI)', 'Deep2 (MIDI)', 'Keys #2 (MIDI)', '4 drawbars (MIDI)']","[0.428, -0.12, -0.192, 0.004, -0.288]",['Hypersaw heaven 2 (MIDI)']
13,pop_audio3,iteration1,"['Keys (MIDI)', 'Deep2 (MIDI)', 'Keys #2 (MIDI)', '4 drawbars (MIDI)']","[-0.247, 0.073, 0.335, -0.358]",['Keys #2 (MIDI)']
14,pop_audio3,iteration2,"['Keys (MIDI)', 'Deep2 (MIDI)', '4 drawbars (MIDI)']","[0.879, -0.093, -0.215]",['Keys (MIDI)']
15,pop_audio3,iteration3,"['Deep2 (MIDI)', '4 drawbars (MIDI)']","[0.347, 0.819]",['4 drawbars (MIDI)']
16,pop_audio7,initial iteration,"['Dist Guit', 'Ride Cym', 'reso synth', 'More lead strings', 'Lead Strings', 'Mellow Strings', 'Bass', 'Snare']","[0.144, 0.001, -0.391, 0.73, 0.791, 0.454, -0.045, 0.273]",['Lead Strings']
17,pop_audio7,iteration1,"['Dist Guit', 'Ride Cym', 'reso synth', 'More lead strings', 'Mellow Strings', 'Bass', 'Snare']","[-0.306, nan, -0.247, 0.09, 0.133, -0.305, nan]",['Mellow Strings']
18,pop_audio7,iteration2,"['Dist Guit', 'Ride Cym', 'reso synth', 'More lead strings', 'Bass', 'Snare']","[-0.33, nan, -0.387, 0.023, -0.79, nan]",['More lead strings']
19,pop_audio7,iteration3,"['Dist Guit', 'Ride Cym', 'reso synth', 'Bass', 'Snare']","[0.199, nan, 0.856, 0.512, nan]",['reso synth']
20,pop_audio4,initial iteration,"['Chorus', 'Strings', 'Bass #2', 'Voice', 'Lead']","[-0.159, 0.202, 0.003, 0.362, 0.402]",['Lead']
21,pop_audio4,iteration1,"['Chorus', 'Strings', 'Bass #2', 'Voice']","[-0.069, 0.301, -0.162, 0.617]",['Voice']
