,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,sin2,initial iteration,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3', 'piano track 8']","[0.918, -0.808, -0.032, 0.023, 0.793, 0.103, -0.211, 0.282]",['piano track 7']
1,sin2,iteration1,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3', 'piano track 8']","[-0.808, -0.031, 0.019, 0.839, 0.012, -0.21, 0.991]",['piano track 8']
2,sin2,iteration2,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3']","[-0.808, -0.031, 0.02, 0.84, 0.004, -0.21]",['piano track 1']
3,sin2,iteration3,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 2', 'piano track 3']","[0.241, -0.019, 0.341, 0.754, -0.156]",['piano track 2']
4,06christ,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[-0.03, -0.125, -0.055, -0.19]",[None]
5,06christ,iteration1,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[-0.03, -0.125, -0.055, -0.19]",[None]
6,06christ,iteration2,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[-0.03, -0.125, -0.055, -0.19]",[None]
7,06christ,iteration3,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[-0.03, -0.125, -0.055, -0.19]",[None]
8,prefug8,initial iteration,"['Right Hand', 'Left Hand', 'Pedal']","[0.125, 0.002, 0.238]",['Pedal']
9,prefug8,iteration1,"['Right Hand', 'Left Hand']","[0.158, 0.008]",['Right Hand']
10,prefug8,iteration2,['Left Hand'],[1.0],['Left Hand']
11,prefug8,iteration3,[],[],[None]
12,03achgot,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.275, 0.117, 0.27, -0.323]",['piano track 4']
13,03achgot,iteration1,"['piano track 1', 'piano track 2', 'piano track 3']","[0.125, -0.181, 0.263]",['piano track 3']
14,03achgot,iteration2,"['piano track 1', 'piano track 2']","[0.468, 0.516]",['piano track 2']
15,03achgot,iteration3,['piano track 1'],[1.0],['piano track 1']
16,12puerna,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[-0.157, -0.201, 0.282, 0.315]",['piano track 3']
17,12puerna,iteration1,"['piano track 4', 'piano track 1', 'piano track 2']","[0.132, 0.489, 0.736]",['piano track 2']
18,12puerna,iteration2,"['piano track 4', 'piano track 1']","[0.465, 0.798]",['piano track 1']
19,12puerna,iteration3,['piano track 4'],[1.0],['piano track 4']
20,10austie,initial iteration,"['piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[-0.588, -0.21, 0.065, 0.065]",['piano track 2']
21,10austie,iteration1,"['piano track 4', 'piano track 1', 'piano track 3']","[-0.505, -0.289, -0.043]",[None]
22,10austie,iteration2,"['piano track 4', 'piano track 1', 'piano track 3']","[-0.505, -0.289, -0.043]",[None]
23,10austie,iteration3,"['piano track 4', 'piano track 1', 'piano track 3']","[-0.505, -0.289, -0.043]",[None]
24,sar1,initial iteration,"['piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 2', 'piano track 3']","[0.627, 0.107, 0.839, 0.774, 0.261, 0.141]",['piano track 5']
25,sar1,iteration1,"['piano track 6', 'piano track 4', 'piano track 1', 'piano track 2', 'piano track 3']","[0.501, 0.067, 0.669, 0.04, 0.144]",['piano track 1']
