,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,jazz_audio10,initial iteration,"['by Andres Chait', 'Echoes', 'G Electrica', 'Bajo', 'Harpsichord', 'Clavs', 'Rain', 'Acordes', 'Saxo', 'Square']","[0.378, -0.424, 0.046, 0.06, 0.344, -0.176, 0.441, -0.238, 0.507, -0.211]",['Saxo']
1,jazz_audio10,iteration1,"['by Andres Chait', 'Echoes', 'G Electrica', 'Bajo', 'Harpsichord', 'Clavs', 'Rain', 'Acordes', 'Square']","[0.12, -0.291, -0.071, 0.1, -0.064, -0.116, -0.051, -0.101, -0.285]",['by Andres Chait']
2,jazz_audio10,iteration2,"['Echoes', 'G Electrica', 'Bajo', 'Harpsichord', 'Clavs', 'Rain', 'Acordes', 'Square']","[-0.141, -0.191, 0.179, -0.104, 0.021, 0.0, 0.024, 0.107]",['Bajo']
3,jazz_audio10,iteration3,"['Echoes', 'G Electrica', 'Harpsichord', 'Clavs', 'Rain', 'Acordes', 'Square']","[0.105, 0.259, 0.922, 0.206, -0.221, 0.39, 0.035]",['Harpsichord']
4,jazz_audio39,initial iteration,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'piano track 3', 'piano track 10', 'piano track 11', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 8', 'piano track 9']","[-0.043, 0.045, -0.41, 0.033, -0.195, 0.209, -0.188, -0.047, 0.818, 1.0, -0.064, -0.099, -0.773, -0.422, 0.121]",['piano track 11']
5,jazz_audio39,iteration1,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'piano track 3', 'piano track 10', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 8', 'piano track 9']","[-0.068, 0.045, -0.41, 0.003, -0.195, 0.207, -0.163, -0.047, 0.818, -0.075, -0.096, -0.773, -0.422, 0.129]",['piano track 10']
6,jazz_audio39,iteration2,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'piano track 3', 'Sequences by Devian', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 8', 'piano track 9']","[0.151, -0.124, 0.332, 0.239, 0.563, 0.486, 0.02, -0.701, 0.136, -0.036, -0.324, -0.084, 0.927, -0.087]",['piano track 8']
7,jazz_audio39,iteration3,"['piano track 7', 'piano track 6', 'piano track 4', 'piano track 5', 'piano track 1', 'piano track 0', 'piano track 2', 'piano track 3', 'Sequences by Devian', 'www.devianjazz.com', '***** by Dave Koz *****', '------ MY WISH ------', 'piano track 9']","[0.151, -0.124, 0.673, 0.22, 0.529, 0.496, 0.02, -0.701, 0.136, -0.037, -0.333, -0.128, -0.088]",['piano track 4']
8,jazz_audio2,initial iteration,"['Drums', 'organ', ' trumpet', 'tenor sax', 'l clavinet', 'brass', 'finger bass', 'slap bass', 'mute guit', ' trombone', 'sax', ' rock organ']","[0.525, 0.296, 0.715, 0.033, 0.106, 0.352, 0.043, -0.277, -0.21, 0.085, 0.309, 0.082]",[' trumpet']
9,jazz_audio2,iteration1,"['Drums', 'organ', 'tenor sax', 'l clavinet', 'brass', 'finger bass', 'slap bass', 'mute guit', ' trombone', 'sax', ' rock organ']","[0.48, 0.185, 0.102, 0.079, 0.452, 0.051, -0.238, -0.252, 0.202, 0.271, 0.107]",['Drums']
