,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,pop_audio1,initial iteration,"['Pad 1 (new age)', 'Acoustic Bass', 'Adele - Hello(2015)', 'Lead 6 (voice)', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'FX7 (echoes)', 'Percussion', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[0.523, 0.366, 0.354, 0.989, 0.685, -0.707, -0.048, 0.007, -0.018, -0.443]",['Lead 6 (voice)']
1,pop_audio1,iteration1,"['Pad 1 (new age)', 'Acoustic Bass', 'Adele - Hello(2015)', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'FX7 (echoes)', 'Percussion', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[0.532, 0.38, 0.005, 0.401, -0.664, -0.05, 0.01, -0.15, -0.43]",['Pad 1 (new age)']
2,pop_audio1,iteration2,"['Acoustic Bass', 'Adele - Hello(2015)', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'FX7 (echoes)', 'Percussion', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[-0.027, 0.433, 0.147, -0.02, 0.413, -0.05, 0.076, 0.393]",['Adele - Hello(2015)']
3,pop_audio1,iteration3,"['Acoustic Bass', 'Words & Music by Greg Kurstin & Adele Atkins(2015)', 'Acoustic Grand', 'FX7 (echoes)', 'Percussion', 'Sequence by Geoffrey Carter 25th October 2015', 'Choir Aahs']","[0.676, -0.095, -0.18, -0.411, 0.0, 0.114, -0.357]",['Acoustic Bass']
4,pop_audio2,initial iteration,"['Drum Track 1', 'Drum Track 2', 'Pan Flute Lead', 'Pan Flute', 'Strings 2', 'Guitar 1', 'Strings 1', 'Guitar 2', 'Intro Lead', 'Bass']","[0.251, -0.122, 0.906, 0.302, 0.217, 0.124, -0.149, -0.209, 0.033, 0.215]",['Pan Flute Lead']
5,pop_audio2,iteration1,"['Drum Track 1', 'Drum Track 2', 'Pan Flute', 'Strings 2', 'Guitar 1', 'Strings 1', 'Guitar 2', 'Intro Lead', 'Bass']","[0.054, 0.093, 0.263, 0.171, 0.591, -0.0, -0.134, 0.051, -0.019]",['Guitar 1']
6,pop_audio2,iteration2,"['Drum Track 1', 'Drum Track 2', 'Pan Flute', 'Strings 2', 'Strings 1', 'Guitar 2', 'Intro Lead', 'Bass']","[0.104, 0.097, 0.263, 0.165, 0.007, -0.268, 0.051, -0.043]",['Pan Flute']
7,pop_audio2,iteration3,"['Drum Track 1', 'Drum Track 2', 'Strings 2', 'Strings 1', 'Guitar 2', 'Intro Lead', 'Bass']","[0.082, 0.225, 0.16, 0.023, -0.268, -0.112, -0.066]",['Drum Track 2']
8,pop_audio49,initial iteration,"['Drums', 'New Age', 'Strings', 'Bass']","[0.123, 0.562, 0.212, -0.14]",['New Age']
9,pop_audio49,iteration1,"['Drums', 'Strings', 'Bass']","[0.078, 0.447, -0.001]",['Strings']
10,pop_audio49,iteration2,"['Drums', 'Bass']","[-0.016, 0.963]",['Bass']
11,pop_audio49,iteration3,['Drums'],[1.0],['Drums']
