,Audio file name,Iterations,Tracks,Correlations,Tracks removed
0,Schubert_audio_2,initial iteration,"['Right ', 'Left']","[0.701, -0.221]",['Right ']
1,Schubert_audio_2,iteration1,['Left'],[0.988],['Left']
2,Schubert_audio_2,iteration2,[],[],[None]
3,Schubert_audio_2,iteration3,[],[],[None]
4,muss_1,initial iteration,"['Piano right', 'Piano left']","[0.747, 0.134]",['Piano right']
5,muss_1,iteration1,['Piano left'],[0.957],['Piano left']
6,muss_1,iteration2,[],[],[None]
7,muss_1,iteration3,[],[],[None]
8,Schubert_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.662, 0.226]",['Piano right']
9,Schubert_audio_1,iteration1,['Piano left'],[1.0],['Piano left']
10,Schubert_audio_1,iteration2,[],[],[None]
11,Schubert_audio_1,iteration3,[],[],[None]
12,Schubert_audio_5,initial iteration,"['Piano right', 'Piano left']","[0.74, -0.017]",['Piano right']
13,Schubert_audio_5,iteration1,['Piano left'],[1.0],['Piano left']
14,Schubert_audio_5,iteration2,[],[],[None]
15,Schubert_audio_5,iteration3,[],[],[None]
16,alb_se8,initial iteration,"['Piano right', 'Piano left']","[0.913, 0.289]",['Piano right']
17,alb_se8,iteration1,['Piano left'],[1.0],['Piano left']
18,alb_se8,iteration2,[],[],[None]
19,alb_se8,iteration3,[],[],[None]
20,Choplin_audio_3,initial iteration,"['Piano right', 'Piano left']","[0.364, 0.2]",['Piano right']
21,Choplin_audio_3,iteration1,['Piano left'],[1.0],['Piano left']
22,Choplin_audio_3,iteration2,[],[],[None]
23,Choplin_audio_3,iteration3,[],[],[None]
24,Mozart_audio_3,initial iteration,"['Piano right', 'Piano left']","[0.719, 0.067]",['Piano right']
25,Mozart_audio_3,iteration1,['Piano left'],[0.881],['Piano left']
26,Mozart_audio_3,iteration2,[],[],[None]
27,Mozart_audio_3,iteration3,[],[],[None]
28,Mozart_audio_2,initial iteration,"['Piano right', 'Piano left']","[0.643, 0.085]",['Piano right']
29,Mozart_audio_2,iteration1,['Piano left'],[0.916],['Piano left']
30,Mozart_audio_2,iteration2,[],[],[None]
31,Mozart_audio_2,iteration3,[],[],[None]
32,Choplin_audio_2,initial iteration,"['Piano right', 'Piano left']","[0.626, 0.352]",['Piano right']
33,Choplin_audio_2,iteration1,['Piano left'],[1.0],['Piano left']
34,Choplin_audio_2,iteration2,[],[],[None]
35,Choplin_audio_2,iteration3,[],[],[None]
36,Mozart_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.385, 0.317]",['Piano right']
37,Mozart_audio_1,iteration1,['Piano left'],[0.935],['Piano left']
38,Mozart_audio_1,iteration2,[],[],[None]
39,Mozart_audio_1,iteration3,[],[],[None]
40,Choplin_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.468, 0.337]",['Piano right']
41,Choplin_audio_1,iteration1,['Piano left'],[1.0],['Piano left']
42,Choplin_audio_1,iteration2,[],[],[None]
43,Choplin_audio_1,iteration3,[],[],[None]
44,Choplin_audio_5,initial iteration,"['Piano right', 'Piano left']","[0.54, 0.132]",['Piano right']
45,Choplin_audio_5,iteration1,['Piano left'],[0.942],['Piano left']
46,Choplin_audio_5,iteration2,[],[],[None]
47,Choplin_audio_5,iteration3,[],[],[None]
48,Choplin_audio_4,initial iteration,"['Piano right', 'Piano left']","[0.715, 0.369]",['Piano right']
49,Choplin_audio_4,iteration1,['Piano left'],[1.0],['Piano left']
50,Choplin_audio_4,iteration2,[],[],[None]
51,Choplin_audio_4,iteration3,[],[],[None]
52,Choplin_audio_6,initial iteration,"['Piano right', 'Piano left']","[0.452, -0.027]",['Piano right']
53,Choplin_audio_6,iteration1,['Piano left'],[0.904],['Piano left']
54,Choplin_audio_6,iteration2,[],[],[None]
55,Choplin_audio_6,iteration3,[],[],[None]
56,Beth_audio_1,initial iteration,"['Piano right', 'Piano left']","[0.617, 0.079]",['Piano right']
57,Beth_audio_1,iteration1,['Piano left'],[0.865],['Piano left']
58,Beth_audio_1,iteration2,[],[],[None]
59,Beth_audio_1,iteration3,[],[],[None]
60,Beth_audio_3,initial iteration,"['Piano right', 'Piano left']","[0.809, 0.269]",['Piano right']
61,Beth_audio_3,iteration1,['Piano left'],[0.902],['Piano left']
62,Beth_audio_3,iteration2,[],[],[None]
63,Beth_audio_3,iteration3,[],[],[None]
64,Beth_audio_2,initial iteration,"['Piano right', 'Piano left']","[0.579, 0.406]",['Piano right']
65,Beth_audio_2,iteration1,['Piano left'],[0.961],['Piano left']
